"","AccuracyVal","Recorder","Features","N.cluster","N.Individual","NMI.val"
"Accuracy",0.491379310344828,"M1","wav2vec2",9,12,0.459733101641045
"Accuracy1",0.508620689655172,"M1","wav2vec2",8,12,0.454398785418592
"Accuracy2",0.487068965517241,"M1","wav2vec2",8,12,0.429854321609681
"Accuracy3",0.512931034482759,"M1","wav2vec2",8,12,0.445301653763849
"Accuracy4",0.517241379310345,"M1","wav2vec2",8,12,0.438261658124896
"Accuracy5",0.530172413793103,"M1","wav2vec2",9,12,0.457729933947309
"Accuracy6",0.517241379310345,"M1","wav2vec2",8,12,0.437500203673984
"Accuracy7",0.547413793103448,"M1","wav2vec2",9,12,0.457193242762177
"Accuracy8",0.538793103448276,"M1","wav2vec2",8,12,0.442820430416177
"Accuracy9",0.547413793103448,"M1","wav2vec2",9,12,0.450791634721997
"Accuracy10",0.551724137931034,"M1","wav2vec2",9,12,0.46211245495156
"Accuracy11",0.573275862068966,"M1","wav2vec2",9,12,0.454627725093202
"Accuracy12",0.469827586206897,"M1","wav2vec2",8,12,0.450005423091362
"Accuracy13",0.482758620689655,"M1","wav2vec2",9,12,0.46216222090192
"Accuracy14",0.517241379310345,"M1","wav2vec2",9,12,0.461361643583424
"Accuracy15",0.560344827586207,"M1","wav2vec2",8,12,0.439329293693004
"Accuracy16",0.53448275862069,"M1","wav2vec2",8,12,0.43669473101224
"Accuracy17",0.521551724137931,"M1","wav2vec2",8,12,0.444854220643657
"Accuracy18",0.556034482758621,"M1","wav2vec2",8,12,0.44110874521538
"Accuracy19",0.521551724137931,"M1","wav2vec2",8,12,0.433685897147306
"Accuracy20",0.489270386266094,"M2","wav2vec2",8,12,0.436898368703786
"Accuracy21",0.476394849785408,"M2","wav2vec2",8,12,0.453062009470113
"Accuracy22",0.506437768240343,"M2","wav2vec2",9,12,0.46662806571572
"Accuracy23",0.502145922746781,"M2","wav2vec2",8,12,0.431972606912524
"Accuracy24",0.579399141630901,"M2","wav2vec2",8,12,0.438617352434342
"Accuracy25",0.536480686695279,"M2","wav2vec2",7,12,0.429080817359746
"Accuracy26",0.51931330472103,"M2","wav2vec2",8,12,0.449667387532522
"Accuracy27",0.506437768240343,"M2","wav2vec2",8,12,0.446953513432649
"Accuracy28",0.566523605150215,"M2","wav2vec2",9,12,0.454520375132006
"Accuracy29",0.532188841201717,"M2","wav2vec2",8,12,0.445260367369817
"Accuracy30",0.55793991416309,"M2","wav2vec2",8,12,0.438319864114052
"Accuracy31",0.527896995708155,"M2","wav2vec2",8,12,0.440072772607452
"Accuracy32",0.55793991416309,"M2","wav2vec2",8,12,0.444776037005846
"Accuracy33",0.467811158798283,"M2","wav2vec2",8,12,0.449681362220607
"Accuracy34",0.566523605150215,"M2","wav2vec2",8,12,0.437940495164583
"Accuracy35",0.527896995708155,"M2","wav2vec2",8,12,0.447146878647155
"Accuracy36",0.536480686695279,"M2","wav2vec2",8,12,0.44735733337873
"Accuracy37",0.51931330472103,"M2","wav2vec2",8,12,0.445341350048696
"Accuracy38",0.545064377682403,"M2","wav2vec2",9,12,0.454786922105072
